"id","nome","descricao","preco","preco_custo","estoque","imagem","categoria","variantes","semDevolucao","deleted","updated_at"
"244","CAIXA DE SOM PNEUZINHO - SEM DEVOLUCAO","","150.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/91609cc7f41f628.webp","ELETRONICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"351","CAIXA DE SOM RELOGIO KARAOKE","","240.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/f1b9dfe9f80129d.webp","ELETRONICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"553","CAIXA DOCE DE MESA","Encomenda!! Deve ser feita até o 3o dia do mes","399.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/721403d258a3ecb.webp","ALIMENTOS","{}","False","False","2026-08-25 18:39:49.578+00"
"557","CAIXA DOCE EM BARRA 4,8 KG TOTAL","Encomenda!! Deve ser feita até o 3o dia do mes","250.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/d5d164818e56cc9.webp","ALIMENTOS","{}","False","False","2026-08-25 18:39:49.578+00"
"411","CAIXA DOCE EM PEDACOS","Caixa com 16 potes 500g cada Não pegamos devolução","480.0","NULL","2","https://thsmdistribuidora.minharota.net/controller/fotos/71875d6e82b0653.webp","ALIMENTOS","{}","False","False","2026-08-25 18:39:49.578+00"
"410","CAIXA DOCE PASTOSO","Caixa com 16 doces 500g cada Não pegamos devolução 2 sabores de cada8 sabores","460.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/a202d20be7f6a08.webp","ALIMENTOS","{}","False","False","2026-08-25 18:39:49.578+00"
"354","CAMERA IP","","0.00","50.00","2","https://thsmdistribuidora.minharota.net/controller/fotos/c2b265c8afea97a.webp","ELETRONICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"588","CAMINHAO BAU IVECO TECTOR CARRINHO","Encomenda!! Deve ser feita até o 3o dia do mes","150.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/412d5bed7aafc00.webp","BRINQUEDOS","{}","False","False","2026-08-25 18:39:49.578+00"
"590","CAMINHAO IVECO GRANELEIRO","Encomenda!! Deve ser feita até o 3o dia do mes","199.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/a0f6e94b7bbd9bd.webp","BRINQUEDOS","{}","False","False","2026-08-25 18:39:49.578+00"
"589","CAMINHAO IVECO TANQUE CARRINHO","Encomenda!! Deve ser feita até o 3o dia do mes","165.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/a33a04fe424fc08.webp","BRINQUEDOS","{}","False","False","2026-08-25 18:39:49.578+00"
"422","CAMISETA MASC P - SEM DEVOLUCAO - SEM COMISSAO","","30.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/64e139a76017f6c.webp","VESTUARIO","{}","False","False","2026-08-25 18:39:49.578+00"
"421","CAMISETA MASCULINA M","30,00 sem comissão","30.0","NULL","2","https://thsmdistribuidora.minharota.net/controller/fotos/0b034afaff604d2.webp","VESTUARIO","{}","False","False","2026-08-25 18:39:49.578+00"
"593","CAMPAINHA COM VIDEO","Encomenda!! Deve ser feita até o 3o dia do mes","150.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/5331dc696dcd928.webp","UTILIDADES DO LAR","{}","False","False","2026-08-25 18:39:49.578+00"
"669","CAMPAINHA RECARREGAVEL","","199.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/3c6e455b2275702.webp","ELETRONICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"370","CAMPAINHA RESIDENCIAL","","50.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/3a42e45d6da2fb2.webp","ELETRONICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"286","CANELA DE VELHO","","20.0","NULL","22","https://thsmdistribuidora.minharota.net/controller/fotos/b7dc58fd4c47b28.webp","COSMETICOS","{}","False","False",""
"692","CANETA TOUCH PARA CELULAR E TABLET","","10.0","NULL","1","","VARIEDADES","{}","False","False","2026-08-25 18:39:49.578+00"
"247","CAPA COLCHAO CASAL","","99.0","NULL","3","https://thsmdistribuidora.minharota.net/controller/fotos/91af6a92ed2138c.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"341","CAPA DE CHUVA SIMPLES","","10.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/6aed1cda9ab4539.webp","VARIEDADES","{}","False","False","2026-08-25 18:39:49.578+00"
"439","CAPA DE COLCHAO IMPERMEAVEL CASAL PADRAO","","199.0","NULL","2","https://thsmdistribuidora.minharota.net/controller/fotos/28044c4b15e4f9e.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"508","CAPA DE MAQUINA DE LAVAR 12 A 16KG","Atenção!! Produto de encomenda!! Tem que pedir antes do 5o dia útil!! Atenção: marcas de eletrodomésticos podem variar conforme disponibilidade em estoque, Mas sempre enviaremos um produto com a mesma função e qualidade!Itens acima de 800,00 é necessário entrada de 40% do valor!!","150.0","NULL","0","https://thsmdistribuidora.minharota.net/controller/fotos/f1ec07a2ca0969b.webp","UTILIDADES DO LAR","{}","False","False","2026-08-25 18:39:49.578+00"
"298","CAPA DE SOFA PARA 2 E 3 LUGARES","","260.0","NULL","1","https://thsmdistribuidora.minharota.net/controller/fotos/5e16bb75eafa509.webp","CAMA MESA E BANHO","{}","False","False","2026-08-25 18:39:49.578+00"
"535","CAPA DE SOFA RETRATIL","Encomenda!! Deve ser feita até o 3o dia do mes","299.0","NULL","3","https://thsmdistribuidora.minharota.net/controller/fotos/2fc27b127bc1bd5.webp","UTILIDADES DO LAR","{}","False","False","2026-08-25 18:39:49.578+00"
"383","CARREGADOR IPHONE","","50.0","NULL","4","https://thsmdistribuidora.minharota.net/controller/fotos/4c0638c4ab6cd15.webp","ELETRONICOS","{}","False","False","2026-08-25 18:39:49.578+00"
"382","CARREGADOR SIMPLES","","15.0","NULL","2","https://thsmdistribuidora.minharota.net/controller/fotos/2651a3b6082d72f.webp","ELETRONICOS","{}","False","False","2026-08-25 18:39:49.578+00"
